Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
DKG_3HP,DKG_3HP,DKG_3HP,18,11,0,-1,191.12,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
DKG_3HP4HB,DKG_3HP4HB,DKG_3HP4HB,18,9,0,-1,191.12,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
DKG_CBB,DKG_CBB,DKG_CBB,22,9,0,-1,191.12,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Gluconate_3HP,Gluconate_3HP,Gluconate_3HP,18,13,0,-1,196.16,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Gluconate_3HP4HB,Gluconate_3HP4HB,Gluconate_3HP4HB,18,11,0,-1,196.16,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Gluconate_CBB,Gluconate_CBB,Gluconate_CBB,22,11,0,-1,196.16,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
GLY_3HP,GLY_3HP,GLY_3HP,13,4,4,1.080E-18,75,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
GLY_3HP4HB,GLY_3HP4HB,GLY_3HP4HB,13,3,4,1.080E-18,75,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
GLY_CBB,GLY_CBB,GLY_CBB,15,3,4,1.080E-18,75,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Carene_Mevalonate_3HP4HB,Carene_Mevalonate_3HP4HB,Carene_Mevalonate_3HP4HB,36,28,0,-1,136.24,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Carene_Mevalonate_CBB,Carene_Mevalonate_CBB,Carene_Mevalonate_CBB,48,28,0,-1,136.24,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Isoprenol_Mevalonate_3HP4HB,Isoprenol_Mevalonate_3HP4HB,Isoprenol_Mevalonate_3HP4HB,18,14,0,-1,68.12,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Isoprenol_Mevalonate_CBB,Isoprenol_Mevalonate_CBB,Isoprenol_Mevalonate_CBB,24,14,0,-1,68.12,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Pinene_Mevalonate_3HP4HB,Pinene_Mevalonate_3HP4HB,Pinene_Mevalonate_3HP4HB,36,28,0,-1,136.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Pinene_Mevalonate_CBB,Pinene_Mevalonate_CBB,Pinene_Mevalonate_CBB,48,28,0,-1,136.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
R_Limonene_3HP4HB,R_Limonene_3HP4HB,R_Limonene_3HP4HB,36,28,0,-1,136.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
R_Limonene_CBB,R_Limonene_CBB,R_Limonene_CBB,48,28,0,-1,136.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
S_Limonene_3HP4HB,S_Limonene_3HP4HB,S_Limonene_3HP4HB,36,28,0,-1,136.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
S_Limonene_CBB,S_Limonene_CBB,S_Limonene_CBB,48,28,0,-1,136.23,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
